"","multi.km$cluster","avg","gain","peak","achievements","positive_ratings","negative_ratings","average_playtime"
"ibb & obb",3,30.9341975308642,0.643703703703704,121.296296296296,10,3125,211,255
"Imperator: Rome",3,966.627142857143,-73.4385714285714,2439.28571428571,72,14561,12411,1204
"Injustice 2",3,304.872307692308,-13.3928205128205,699.641025641026,74,3673,938,103
"Injustice: Gods Among Us Ultimate Edition",3,164.580326086957,0.941630434782608,642.79347826087,50,8793,1473,288
"Insurgency",3,1635.9379,9.02430000000001,4601.1,100,92355,9570,712
"Insurgency: Sandstorm",3,2341.40230769231,-23.0853846153846,5170.76923076923,37,12858,3933,1425
"Just Cause 2: Multiplayer Mod",3,215.523372093023,-23.9343023255814,741.988372093023,20,12261,1099,431
"Killing Floor",6,1171.4167961165,-30.9065048543689,2707.3786407767,285,53710,2649,1328
"Killing Floor 2",6,3493.99752808989,37.2557303370787,8566.7191011236,257,60917,8354,2967
"King Arthur's Gold",3,65.1441379310345,-4.53551724137931,168.275862068966,64,3127,643,384
"Knight Online",3,2672.40049180328,-53.0934426229508,3833.24590163934,0,3704,4187,113
"Left 4 Dead",3,461.660097087379,-7.09504854368932,1017.19417475728,73,17951,948,897
"Left 4 Dead 2",3,10380.3737864078,43.0231067961165,23552.5436893204,70,251789,8418,1615
"Lethal League",3,51.3412820512821,-1.37217948717949,217.282051282051,23,5196,346,258
"Life is Feudal: Your Own",6,926.243896103896,-15.9692207792208,1930.93506493506,150,6167,3395,3497
"Line of Sight",6,207.807962962963,0.897407407407406,420.203703703704,408,4562,3397,161
"Magic Duels",3,1445.37787878788,-94.1801515151515,2240.84848484848,49,16599,6912,1854
"Magicite",3,95.1777380952381,-0.907023809523809,291.47619047619,0,5488,936,450
"Magicka",3,293.527087378641,-13.3428155339806,1139.84466019417,88,20912,1964,589
"Magicka 2",3,112.180441176471,-1.72397058823529,452.235294117647,47,4873,1382,198
"MapleStory",3,855.852843137255,10.8102941176471,1569.74509803922,0,3629,1711,71
"MapleStory 2",3,1095.41571428571,-721.874285714286,2177.32142857143,0,5143,1750,1273
"Max Payne 3",3,315.676990291262,-12.1035922330097,963.796116504854,67,21581,4374,464
"Medieval Engineers",5,143.648472222222,-6.91930555555556,362.138888888889,0,3233,1376,11517
"Men of War: Assault Squad 2",6,1236.868,21.5358823529412,2570.81176470588,490,11389,2025,4678
"METAL GEAR SOLID V: THE PHANTOM PAIN",3,2526.92692307692,-633.429230769231,4739.50769230769,42,38643,4954,3007
"METAL SLUG 3",3,27.4783333333333,-1.72678571428571,117.690476190476,30,5229,553,212
"Metin2",3,720.366666666667,-59.3662222222222,1353.2,0,4526,2741,2225
"Microsoft Flight Simulator X: Steam Edition",3,2194.62405405405,6.69513513513514,3776.75675675676,0,8859,2282,991
"Minion Masters",3,765.206538461538,21.1303846153846,2179.51923076923,38,13269,1687,381
"Miscreated",3,594.0228,2.7124,1317.85333333333,29,17255,7903,619
"Mitos.is: The Game",3,421.91696969697,-7.09924242424242,878.651515151515,0,9463,2158,268
"Monster Hunter: World",5,41580.883,-5479.529,101734.566666667,100,158413,23404,20814
"Moonbase Alpha",3,26.1606796116505,-0.273203883495146,75.2330097087379,0,9867,1166,54
"Mordheim: City of the Damned",3,251.534266666667,0.306266666666667,603.32,109,3596,1614,1441
"Mortal Kombat X",3,670.342857142857,-78.4292857142857,1675.95714285714,73,21484,7154,1030
"Mount & Blade: Warband",6,5939.44145631068,8.5104854368932,11925.7572815534,80,75872,2213,7932
"Mount Your Friends",3,37.4373417721519,-0.550759493670886,156.683544303797,8,6341,329,150
"Move or Die",3,106.540789473684,1.47197368421053,390.644736842105,66,8633,1245,299
"Murder Miners",3,22.8410126582278,-0.186455696202532,118.632911392405,18,4295,818,206
"NARUTO SHIPPUDEN: Ultimate Ninja STORM 4",3,647.654666666667,-2.11033333333333,1722.21666666667,53,17336,3456,767
"NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution",3,88.4083333333333,0.427051282051283,332.730769230769,50,4152,995,969
"Natural Selection 2",3,396.659900990099,-0.650297029702969,1205.0198019802,67,8372,1498,627
"Naval Action",3,643.432786885246,-18.4465573770492,1280.91803278689,0,3117,2029,1536
"NBA 2K17",3,1653.02886792453,-153.244905660377,3050.98113207547,49,4353,3893,4672
"NBA 2K18",3,3142.7156097561,-275.61243902439,6207.51219512195,50,4832,12067,3499
"NBA 2K19",3,6017.74448275862,-436.035862068966,11984.724137931,50,3093,8080,2901
"NBA 2K20",3,15229.3647058824,-434.083529411765,28891.4117647059,50,22908,21005,3499
"NBA 2K21",3,8951.144,350.378,16772.8,50,6723,11048,2901
"Neverwinter",3,2466.93848837209,-62.8922093023256,4379.97674418605,0,18517,5297,1273
"Next Day: Survival",3,113.133023255814,-37.8913953488372,372.279069767442,39,4854,2493,280
"Nidhogg",3,37.236,-2.44058823529412,162.4,12,5480,758,123
"No Man's Sky",3,4769.79777777778,-555.013888888889,13225.4259259259,27,63444,56488,2004
"No More Room in Hell",3,771.838850574713,-39.8318390804598,1380.40229885057,107,48190,5747,2661
"Northgard",6,1213.28679245283,44.3249056603774,3270.1320754717,133,12214,2314,601
"ORION: Prelude",6,108.576310679612,-0.0915533980582533,458.436893203883,251,22057,7558,263
"Overcooked! 2",3,1259.971,3.71066666666667,4620.33333333333,40,5362,1274,359
"Paint the Town Red",3,134.651846153846,3.13261538461538,294.8,0,4752,489,554
"Paladins",3,16346.6111320755,-206.525094339623,30444.2452830189,58,169580,32407,1595
"Path of Exile",6,18163.9692045455,313.328522727273,42310.1477272727,120,71593,6117,5263
"Pavlov VR",3,391.723469387755,20.0728571428571,1156.81632653061,0,2952,355,362
"PAYDAY 2",4,16744.7989215686,256.518137254902,35471.2352941177,1130,308657,56523,3975
"Phasmophobia",5,23042.4375,-7882.2125,54112.75,0,184139,29417,16179
"Pit People",3,101.23296875,0.760937499999999,291.8125,27,5027,311,327
"Planet Explorers",3,89.3949397590361,-10.6756626506024,232.457831325301,16,3847,1729,545
"Planetary Annihilation: TITANS",3,272.95303030303,-8.99272727272727,786.69696969697,19,5373,1375,408
"PlanetSide 2",3,2695.05828282828,-144.052828282828,5133.34343434343,0,35968,7753,1051
"PLAYERUNKNOWN'S BATTLEGROUNDS",2,491907.301489362,3859.71063829787,1083301.21276596,37,496184,487076,22938
"Polarity",3,9.58653333333333,0.0111999999999999,50.1866666666667,10,3932,942,156
"Portal Knights",3,581.944666666667,-4.637,1627.76666666667,29,10837,2531,1241
"Primal Carnage",3,59.950404040404,-1.70969696969697,199.626262626263,69,4447,1323,423
"Project CARS",3,444.064210526316,1.69357894736842,1072.29473684211,45,8618,2720,232
"Project CARS 2",3,1001.72609756098,-53.6241463414634,2241.73170731707,47,4190,1747,121
"Project Zomboid",3,775.331494252874,15.8773563218391,1542.5632183908,0,17273,2606,658
"Quake Live",3,406.307922077922,-26.578051948052,807.090909090909,58,10227,1956,1265
"RAGE",3,222.724660194175,-8.26689320388349,669.281553398058,60,9394,2882,559
"Realm Royale",3,2073.278125,-993.6834375,4235.1875,22,17220,9825,360
"Rec Room",3,266.937857142857,20.9146428571429,582.428571428571,0,3431,225,54
"Reign Of Kings",3,404.186901408451,-53.7902816901408,923.605633802817,0,8076,5997,3498
"rFactor 2",3,386.054603174603,6.67952380952381,920.904761904762,25,1057,227,0
"Riders of Icarus",3,899.317894736842,5.63824561403508,1728.21052631579,0,5306,2741,1859
"RIFT",3,765.83213592233,-0.847669902912622,1459.68932038835,0,6885,2326,4104
"Rise of Nations: Extended Edition",3,536.302875,2.10425,1106.6375,38,5125,473,2379
"Rising Storm 2: Vietnam",6,1262.405,-74.5402272727273,2779.09090909091,132,17201,4777,1945
"Risk of Rain",3,411.047701149425,-20.2608045977011,1017.95402298851,15,22700,1589,946
"Road Redemption",3,44.9396103896104,0.165844155844156,140.337662337662,55,4788,1056,13
"Robocraft",3,3402.59759493671,-95.5458227848101,7268.11392405063,43,80360,30987,1369
"Robot Roller-Derby Disco Dodgeball",3,20.3521951219512,-0.065609756097561,83.4512195121951,76,3155,259,303
"Rocket League",6,34790.8039705882,790.015735294118,70156.6470588235,88,242561,21816,5825
"Rome: Total War",3,1013.46883495146,3.97029126213592,1877.29126213592,0,7806,562,897
"RUNNING WITH RIFLES",3,108.387108433735,0.814819277108433,298.180722891566,45,5254,745,97
"Russian Fishing 4",6,2892.32375,81.4325,5230.34375,114,2103,1062,5647
"Rust",5,33245.3539534884,1262.0523255814,60146.976744186,48,220370,53709,9352
"RWBY: Grimm Eclipse",3,65.4532258064516,-5.85951612903226,225.870967741935,37,8844,1830,185
"Ryse: Son of Rome",3,144.776623376623,1.66883116883117,570.675324675325,73,14966,2939,225
"S.T.A.L.K.E.R.: Call of Pripyat",3,244.151844660194,-1.96825242718447,501.029126213592,0,10172,470,1969
"S.T.A.L.K.E.R.: Clear Sky",3,133.523106796117,0.528155339805825,297.699029126214,0,5550,903,716
"S.T.A.L.K.E.R.: Shadow of Chernobyl",3,198.664466019417,0.154466019417476,467.330097087379,0,11039,570,493
"Sanctum 2",3,164.403333333333,-8.27870967741936,801.655913978495,50,11629,1273,293
"Scrap Mechanic",3,1600.05065573771,25.8777049180328,3743,0,15197,2777,2355
"Secret World Legends",3,377.707352941176,-0.941078431372549,916.117647058824,0,4420,2106,645
"Serious Sam 2",3,46.862427184466,0.305339805825243,192.067961165049,0,5353,702,233
"Serious Sam 3: BFE",3,214.069902912621,-3.65281553398058,737.815533980582,62,15574,1977,378
"Serious Sam HD: The First Encounter",3,45.2984466019417,-0.0965048543689318,178.330097087379,35,3950,269,277
"ShellShock Live",3,929.827746478873,8.94549295774648,2001.05633802817,58,11426,1264,1218
"Sid Meier's Civilization V",6,27884.735631068,-85.7030097087379,49278.5048543689,286,129030,5565,4760
"Sid Meier's Civilization VI",6,25842.305,-850.368076923077,46108.9423076923,307,124015,6065,4341
